20240801 114800;19622.75;19624.25;19619.25;19619.75;305
20240801 114900;19620.25;19621;19612.75;19616.5;766
20240801 115000;19615.25;19615.5;19601.5;19602.75;997
20240801 115100;19602.5;19603.5;19589.5;19593;1877
20240801 115200;19592.75;19592.75;19583.5;19591.25;1454
20240801 115300;19591.5;19598;19585.5;19598;976
20240801 115400;19597.75;19600.5;19592;19593.5;818
20240801 115500;19593.75;19597;19591.25;19592;547
20240801 115600;19593;19594.75;19580;19587.75;1170
20240801 115700;19588;19589.25;19573.75;19575.5;1219
20240801 115800;19575.25;19579.5;19570.5;19572.25;995
20240801 115900;19572.75;19576.25;19570.5;19570.75;775
20240801 120000;19571;19578.75;19570.25;19574.25;799
20240801 120100;19574.75;19582.25;19571;19574.25;1524
20240801 120200;19574.5;19576.25;19567;19570.75;1263
20240801 120300;19570.5;19577;19569.5;19576.5;642
20240801 120400;19576.75;19586;19574.5;19583.25;1035
20240801 120500;19583.5;19592.25;19583;19592;993
20240801 120600;19592;19592;19584.75;19587.75;638
20240801 120700;19587.75;19595.25;19587.75;19593.25;558
20240801 120800;19593;19596.5;19592.75;19595;529
20240801 120900;19595.25;19597.75;19594.25;19596.75;513
20240801 121000;19596.25;19597.5;19594;19596;325
20240801 121100;19596.75;19598.75;19590;19592.25;607
20240801 121200;19592.25;19601.5;19589.25;19593.25;874
20240801 121300;19593.25;19596.75;19589.25;19592;525
20240801 121400;19592;19593.75;19589.75;19592.5;264
20240801 121500;19592.5;19597.75;19589.75;19597;352
20240801 121600;19596.75;19602;19596.75;19600.5;438
20240801 121700;19600.5;19610.5;19600.5;19610.25;795
20240801 121800;19610.25;19612;19607;19609.25;716
20240801 121900;19610;19615;19609.5;19613;788
20240801 122000;19612.25;19617.25;19609.5;19609.75;682
20240801 122100;19609.75;19614.25;19605.75;19614.25;618
20240801 122200;19614;19619.75;19612.75;19618.75;552
20240801 122300;19618.75;19620.75;19616;19620.75;542
20240801 122400;19620.75;19626;19618.5;19625.25;833
20240801 122500;19625.25;19628;19622.25;19626.5;645
20240801 122600;19626;19626;19614.5;19619.75;808
20240801 122700;19619.5;19619.5;19613.75;19617.75;679
20240801 122800;19617.5;19622.5;19614.75;19621;417
20240801 122900;19621.5;19623.25;19619.75;19620.5;275
20240801 123000;19620.25;19625.25;19613;19616;471
20240801 123100;19614;19627;19585;19621;2296
20240801 123200;19620.5;19641.75;19619;19639;3196
20240801 123300;19638.75;19647.5;19633.75;19634.25;1923
20240801 123400;19634.75;19636;19625.5;19636;1325
20240801 123500;19636.5;19637.25;19621.5;19626;1242
20240801 123600;19626.25;19626.25;19615.25;19621.5;1455
20240801 123700;19621;19623.25;19615.5;19618;797
20240801 123800;19618;19620.75;19609.5;19611;1140
20240801 123900;19611.25;19618.25;19611;19614.25;784
20240801 124000;19615.25;19618.25;19606.5;19608.5;934
20240801 124100;19608;19610.5;19596;19596;1612
20240801 124200;19596.25;19604.5;19593.25;19603;1608
20240801 124300;19603.5;19603.5;19588;19588.75;1360
20240801 124400;19589;19592.75;19585.75;19590.75;932
20240801 124500;19590.75;19597.25;19586.75;19592.5;888
20240801 124600;19592.5;19601.75;19586.75;19597.25;973
20240801 124700;19597.75;19602.5;19596.75;19602.25;747
20240801 124800;19602.25;19609.25;19600.25;19608.5;1031
20240801 124900;19608.75;19608.75;19589.25;19590.5;1518
20240801 125000;19590;19596.5;19588.25;19593;560
20240801 125100;19593.25;19603.25;19587.25;19601;1099
20240801 125200;19601;19609.75;19597.25;19604.5;1148
20240801 125300;19604;19607.75;19599.75;19600;694
20240801 125400;19599.75;19599.75;19590.5;19594;901
20240801 125500;19594;19597.75;19590.25;19597.75;585
20240801 125600;19597.75;19597.75;19583.5;19584;1270
20240801 125700;19583.5;19591;19581.5;19585.75;1114
20240801 125800;19586.75;19593.75;19585.25;19591.75;721
20240801 125900;19591.75;19592.75;19588;19590.25;421
20240801 130000;19589.75;19597.5;19588.25;19596.75;691
20240801 130100;19596.5;19600.25;19588.75;19599;961
20240801 130200;19599;19601.75;19594.5;19598.75;771
20240801 130300;19599.25;19605;19597.5;19603.25;694
20240801 130400;19603;19605.5;19594.25;19597.75;928
20240801 130500;19597.75;19598.75;19592.75;19594;644
20240801 130600;19594;19598.75;19592;19596.75;402
20240801 130700;19597.25;19598;19584;19585.25;1188
20240801 130800;19585.75;19586;19555.25;19556.75;4296
20240801 130900;19555.75;19566.5;19553.25;19565;1788
20240801 131000;19565;19567;19557.5;19561.5;953
20240801 131100;19561.5;19564;19554.25;19556.5;1119
20240801 131200;19556.75;19560;19553;19553;879
20240801 131300;19553;19565.5;19551.75;19564.25;1354
20240801 131400;19564.5;19566.25;19555.5;19556.75;840
20240801 131500;19557.25;19559.25;19552.5;19554.5;659
20240801 131600;19554.25;19558.25;19552.25;19556;547
20240801 131700;19556.5;19559;19534.25;19537.25;2589
20240801 131800;19538.25;19540.75;19532;19534.25;1347
20240801 131900;19534.75;19538.25;19530.75;19532.25;1034
20240801 132000;19532.5;19535.75;19529.25;19535;873
20240801 132100;19535;19542;19531;19534.75;1049
20240801 132200;19534.25;19545;19533;19544.25;862
20240801 132300;19544.25;19546.5;19538.75;19541;1005
20240801 132400;19540.75;19545.25;19536;19537;677
20240801 132500;19536.75;19538.5;19525.5;19526.75;1392
20240801 132600;19527;19532.25;19520.5;19530;1794
20240801 132700;19530.5;19536.75;19524.75;19536.5;985
20240801 132800;19536.25;19544.5;19535;19535;1539
20240801 132900;19535.25;19536.5;19518.5;19524.75;2725
20240801 133000;19524.5;19526;19517;19526;1353
20240801 133100;19525.25;19540.75;19514.25;19531.25;9590
